flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.095023,0.000000,0.00,0.00
0.105387,0.000000,0.00,0.00
0.116591,0.000000,0.00,0.00
0.128599,0.000000,0.00,0.00
0.141377,0.000000,0.00,0.00
0.154885,0.000000,0.00,0.00
0.169083,0.000000,0.00,0.00
0.183926,0.000000,0.00,0.00
0.199367,0.000000,0.00,0.00
0.215353,0.000000,0.00,0.00
0.231831,0.000000,0.00,0.00
0.248741,0.000000,0.00,0.00
0.266019,0.000000,0.00,0.00
0.283598,0.000000,0.00,0.00
0.301406,0.000000,0.00,0.00
0.319367,0.000000,0.00,0.00
0.337403,0.000000,0.00,0.00
0.355430,0.000000,0.00,0.00
0.373364,0.000000,0.00,0.00
0.391119,0.000000,0.00,0.00
0.408604,0.000000,0.00,0.00
0.425732,0.000000,0.00,0.00
0.442414,0.000000,0.00,0.00
0.458562,0.000000,0.00,0.00
0.474090,0.000000,0.00,0.00
0.488914,0.000000,0.00,0.00
0.502956,0.000000,0.00,0.00
0.516141,0.000000,0.00,0.00
0.528400,0.000000,0.00,0.00
0.539669,0.000000,0.00,0.00
0.549893,0.000000,0.00,0.00
0.559023,0.000000,0.00,0.00
0.567020,0.000000,0.00,0.00
0.573851,0.000000,0.00,0.00
0.579494,0.000000,0.00,0.00
0.583936,0.000000,0.00,0.00
0.587170,0.000000,0.00,0.00
0.589202,0.000000,0.00,0.00
0.590043,0.000000,0.00,0.00
0.589713,0.000000,0.00,0.00
0.588239,0.000000,0.00,0.00
0.585656,0.000000,0.00,0.00
0.582003,0.000000,0.00,0.00
0.577326,0.000000,0.00,0.00
0.571673,0.000000,0.00,0.00
0.565097,0.000000,0.00,0.00
0.557653,0.000000,0.00,0.00
0.549396,0.000000,0.00,0.00
0.540384,0.000000,0.00,0.00
0.530673,0.000000,0.00,0.00
0.520320,0.000000,0.00,0.00
0.509378,0.000000,0.00,0.00
0.497901,0.000000,0.00,0.00
0.485937,0.000000,0.00,0.00
0.473535,0.000000,0.00,0.00
0.460739,0.000000,0.00,0.00
0.447591,0.000000,0.00,0.00
0.434130,0.000000,0.00,0.00
0.420392,0.000000,0.00,0.00
0.406413,0.000000,0.00,0.00
0.392224,0.000000,0.00,0.00
0.377859,0.000000,0.00,0.00
0.363349,0.000000,0.00,0.00
0.348726,0.000000,0.00,0.00
0.334024,0.000000,0.00,0.00
0.319277,0.000000,0.00,0.00
0.304523,0.000000,0.00,0.00
0.289801,0.000000,0.00,0.00
0.275153,0.000000,0.00,0.00
0.260624,0.000000,0.00,0.00
0.246263,0.000000,0.00,0.00
0.232117,0.000000,0.00,0.00
0.218240,0.000000,0.00,0.00
0.204685,0.000000,0.00,0.00
0.191504,0.000000,0.00,0.00
0.178751,0.000000,0.00,0.00
0.166477,0.000000,0.00,0.00
0.154731,0.000000,0.00,0.00
0.143561,0.000000,0.00,0.00
0.133010,0.000000,0.00,0.00
0.123114,0.000000,0.00,0.00
0.113907,0.000000,0.00,0.00
0.105416,0.000000,0.00,0.00
0.097661,0.000000,0.00,0.00
0.090656,0.000000,0.00,0.00
0.084408,0.000000,0.00,0.00
0.078917,0.000000,0.00,0.00
0.074176,0.000000,0.00,0.00
0.070170,0.000000,0.00,0.00
0.066878,0.000000,0.00,0.00
0.064272,0.000000,0.00,0.00
0.062318,0.000000,0.00,0.00
0.060976,0.000000,0.00,0.00
0.060199,0.000000,0.00,0.00
0.059938,0.000000,0.00,0.00
0.060138,0.000000,0.00,0.00
0.060740,0.000000,0.00,0.00
0.061683,0.000000,0.00,0.00
0.062904,0.000000,0.00,0.00
