source_name,ROI_01,ROI_02,ROI_03,ROI_04,ROI_05,ROI_06,ROI_07,ROI_08,ROI_09,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14
TRUTH,2480.0000,2173.0000,1907.0000,1604.0000,1332.0000,1044.0000,801.7000,608.6000,458.4000,336.5000,244.2000,176.6000,126.9000,90.9000
VUMC_MRF_1000_TE3.3_FSC,2620.9396,2329.6644,2152.3490,1849.7987,1503.7584,1219.3289,988.3893,776.3758,547.1141,396.3758,272.4161,173.4228,147.3826,126.0403
VUMC_MRF_1000_TE3.3_US,2642.9530,2372.0805,2157.9866,1891.5436,1514.4966,1214.8993,993.2215,786.0403,572.4832,404.0268,272.5503,172.2819,145.8389,123.9597
VUMC_MRF_1000_TE5.0_FSC,2650.7383,2380.1342,2166.8456,1883.3557,1526.1745,1305.7718,1041.0738,824.7651,559.7987,404.1611,295.5034,204.0940,175.0336,188.6577
VUMC_MRF_1000_TE5.0_US,2661.2081,2405.1007,2160.9396,1885.3691,1512.4832,1269.9329,1011.6107,789.7315,554.1611,393.4228,288.0537,200.4698,167.5839,165.0738
VUMC_MRF_210_TE3.3_US,2657.9866,2339.5973,2172.2148,1912.8859,1513.0201,1126.0403,867.2483,640.4698,473.5570,352.4161,249.7315,164.2953,145.7047,103.1409
VUMC_MRF_210_TE4.0_US,2623.6242,2321.0738,2152.8859,1853.6913,1452.3490,1080.9396,844.4966,641.5436,476.5772,357.1812,249.5973,162.4832,149.1946,102.6846
VUMC_MRF_500_TE3.3_FSC,2664.4295,2330.2013,2071.5436,1715.7047,1295.0336,1022.0134,780.0000,574.4295,429.2617,328.1208,232.4161,155.0336,133.4899,114.0268
VUMC_MRF_500_TE3.3_US,2693.4228,2290.4698,2057.5839,1706.9799,1326.0403,1006.0403,773.2886,574.1611,433.0872,338.1879,236.3087,156.9128,136.7785,115.0336
VUMC_MRF_500_TE5.2_FSC,2666.5772,2397.8523,2119.1946,1905.3691,1500.8054,1104.2953,824.0268,639.9329,512.8859,383.8255,267.3154,174.6980,161.3423,113.6913
VUMC_MRF_500_TE5.2_US,2672.7517,2364.0268,2105.6376,1876.3758,1479.3289,1059.0604,799.1946,620.4698,497.9195,383.5570,263.0872,169.5302,156.1074,108.8188
