source_name,ROI_01,ROI_02,ROI_03,ROI_04,ROI_05,ROI_06,ROI_07,ROI_08,ROI_09,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14
TRUTH,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VUMC_MRF_1000_TE3.3_FSC,23.0552,35.9131,78.4856,89.0678,69.9177,31.2285,52.2089,73.5969,50.2870,38.9423,10.4397,9.6403,8.4146,11.9016
VUMC_MRF_1000_TE3.3_US,39.2067,55.5473,91.1709,94.7880,90.1608,54.0847,58.4631,92.1575,73.1336,51.3325,15.3849,11.3376,7.7198,12.0707
VUMC_MRF_1000_TE5.0_FSC,32.7582,67.9625,136.7731,156.2639,77.9084,77.6790,132.5434,154.8913,102.2944,53.6518,32.3084,25.0409,24.1791,113.2306
VUMC_MRF_1000_TE5.0_US,39.3342,87.7698,162.3366,171.3008,92.9538,99.3118,132.2726,152.0844,109.1620,56.6016,38.3032,34.6281,25.0311,91.8964
VUMC_MRF_210_TE3.3_US,200.1316,109.5068,135.7404,107.1769,89.0468,90.2760,69.7569,20.3462,13.5604,15.7536,11.5048,10.4787,12.1508,8.1812
VUMC_MRF_210_TE4.0_US,135.6477,96.0795,102.8795,85.5218,83.6853,68.6486,38.3165,17.6193,13.5453,13.6600,11.1428,9.9936,15.4446,7.2588
VUMC_MRF_500_TE3.3_FSC,27.3956,68.5217,112.6147,137.9691,81.4366,32.3616,21.4350,36.3984,32.6342,18.5767,5.1532,5.1497,6.0321,4.9209
VUMC_MRF_500_TE3.3_US,43.5234,85.9159,104.9044,137.5053,71.6864,44.0948,24.9172,42.2365,36.5746,19.7297,7.4751,5.8007,6.5004,5.1497
VUMC_MRF_500_TE5.2_FSC,26.9577,111.6738,168.9535,199.0739,157.1517,47.5090,54.7095,91.7141,84.1836,46.7830,27.5492,18.6923,28.1564,8.9555
VUMC_MRF_500_TE5.2_US,38.9188,93.7789,184.3628,212.1582,157.5388,39.8535,59.3947,92.4906,84.0951,43.8837,32.5887,19.4289,25.4344,9.6002
